timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
2025-08-29 13:58:05.530,URLLC,PDCCH,DL,,,,,,,,,,15.0,,
2025-08-29 13:58:05.530,URLLC,MAC,UL,,,,,,,,,,,,136.0
2025-08-29 13:58:05.532,URLLC,PUSCH,UL,5.0,-266.0,141.0,6.0,0.0,0.65,0.0,1.0,,,,
2025-08-29 13:58:05.557,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.561,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:58:05.561,URLLC,MAC,UL,,,,,,,,,,,,123.0
2025-08-29 13:58:05.562,URLLC,PUSCH,UL,6.0,-255.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:58:05.565,URLLC,PDCCH,DL,,,,,,,,,,27.0,,
2025-08-29 13:58:05.566,URLLC,MAC,UL,,,,,,,,,,,,157.0
2025-08-29 13:58:05.566,URLLC,PDCCH,DL,,,,,,,,,,17.0,,
2025-08-29 13:58:05.566,URLLC,MAC,DL,,,,,,,,,,,,5886.0
2025-08-29 13:58:05.566,URLLC,PDSCH,DL,8.0,-239.0,5889.0,8.0,0.0,0.93,0.0,1.0,32.6,,,
2025-08-29 13:58:05.567,URLLC,PUSCH,UL,7.0,-45.0,165.0,6.0,0.0,0.75,0.0,1.0,,,,
2025-08-29 13:58:05.567,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.570,URLLC,PDCCH,DL,,,,,,,,,,12.0,,
2025-08-29 13:58:05.570,URLLC,MAC,UL,,,,,,,,,,,,106.0
2025-08-29 13:58:05.570,URLLC,PDCCH,DL,,,,,,,,,,27.0,,
2025-08-29 13:58:05.571,URLLC,PDSCH,DL,9.0,-95.0,5889.0,8.0,0.0,0.93,0.0,1.0,33.3,,,
2025-08-29 13:58:05.571,URLLC,MAC,DL,,,,,,,,,,,,5884.0
2025-08-29 13:58:05.572,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.572,URLLC,PUSCH,UL,8.0,1.0,111.0,6.0,0.0,0.5,0.0,1.0,,,,
2025-08-29 13:58:05.575,URLLC,PDCCH,DL,,,,,,,,,,27.0,,
2025-08-29 13:58:05.576,URLLC,PDSCH,DL,10.0,-127.0,5889.0,8.0,0.0,0.93,0.0,0.0,33.6,,,
2025-08-29 13:58:05.577,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.577,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.581,URLLC,MAC,DL,,,,,,,,,,,,5886.0
2025-08-29 13:58:05.581,URLLC,PDCCH,DL,,,,,,,,,,31.0,,
2025-08-29 13:58:05.581,URLLC,PDCCH,DL,,,,,,,,,,12.0,,
2025-08-29 13:58:05.581,URLLC,MAC,UL,,,,,,,,,,,,106.0
2025-08-29 13:58:05.581,URLLC,PDSCH,DL,10.0,-191.0,5889.0,8.0,2.0,0.93,1.0,1.0,31.8,,,
2025-08-29 13:58:05.582,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.582,URLLC,MAC,DL,,,,,,,,,,,,5886.0
2025-08-29 13:58:05.582,URLLC,PDCCH,DL,,,,,,,,,,27.0,,
2025-08-29 13:58:05.582,URLLC,PUSCH,UL,9.0,-153.0,111.0,6.0,0.0,0.5,0.0,1.0,,,,
2025-08-29 13:58:05.582,URLLC,PDSCH,DL,11.0,-239.0,5889.0,8.0,0.0,0.93,0.0,1.0,32.7,,,
2025-08-29 13:58:05.583,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.592,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.596,URLLC,MAC,UL,,,,,,,,,,,,148.0
2025-08-29 13:58:05.596,URLLC,PDCCH,DL,,,,,,,,,,16.0,,
2025-08-29 13:58:05.597,URLLC,PUSCH,UL,10.0,-255.0,153.0,6.0,0.0,0.7,0.0,1.0,,,,
2025-08-29 13:58:05.617,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.621,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:58:05.621,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:58:05.622,URLLC,PUSCH,UL,11.0,-233.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:58:05.625,URLLC,PDCCH,DL,,,,,,,,,,27.0,,
2025-08-29 13:58:05.626,URLLC,PDSCH,DL,12.0,-47.0,5889.0,8.0,0.0,0.93,0.0,1.0,33.1,,,
2025-08-29 13:58:05.626,URLLC,MAC,DL,,,,,,,,,,,,5884.0
2025-08-29 13:58:05.627,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:58:05.627,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
