timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
2025-08-29 13:37:53.851,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.851,URLLC,MAC,UL,,,,,,,,,,,,9.0
2025-08-29 13:37:53.852,URLLC,PUSCH,UL,0.0,2.0,11.0,2.0,0.0,0.12,0.0,1.0,,,,
2025-08-29 13:37:53.855,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.856,URLLC,PDSCH,DL,0.0,-13.0,7.0,2.0,0.0,0.12,0.0,1.0,37.0,,,
2025-08-29 13:37:53.857,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.861,URLLC,PDCCH,DL,,,,,,,,,,5.0,,
2025-08-29 13:37:53.862,URLLC,MAC,DL,,,,,,,,,,,,353.0
2025-08-29 13:37:53.862,URLLC,PDSCH,DL,0.0,17.0,357.0,2.0,0.0,0.37,0.0,1.0,34.9,,,
2025-08-29 13:37:53.863,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.866,URLLC,PDCCH,DL,,,,,,,,,,27.0,,
2025-08-29 13:37:53.866,URLLC,MAC,UL,,,,,,,,,,,,277.0
2025-08-29 13:37:53.866,URLLC,PDCCH,DL,,,,,,,,,,27.0,,
2025-08-29 13:37:53.867,URLLC,PUSCH,UL,0.0,-180.0,285.0,6.0,0.0,0.89,0.0,1.0,,,,
2025-08-29 13:37:53.871,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.871,URLLC,PDCCH,DL,,,,,,,,,,27.0,,
2025-08-29 13:37:53.871,URLLC,MAC,UL,,,,,,,,,,,,281.0
2025-08-29 13:37:53.872,URLLC,PUSCH,UL,1.0,-10.0,285.0,6.0,0.0,0.89,0.0,1.0,,,,
2025-08-29 13:37:53.872,URLLC,MAC,DL,,,,,,,,,,,,60.0
2025-08-29 13:37:53.872,URLLC,PDSCH,DL,1.0,17.0,63.0,2.0,0.0,0.12,0.0,1.0,36.3,,,
2025-08-29 13:37:53.873,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.907,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.907,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.907,URLLC,PDSCH,DL,2.0,1.0,63.0,2.0,0.0,0.12,0.0,1.0,35.3,,,
2025-08-29 13:37:53.907,URLLC,MAC,DL,,,,,,,,,,,,60.0
2025-08-29 13:37:53.908,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.912,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.916,URLLC,MAC,UL,,,,,,,,,,,,186.0
2025-08-29 13:37:53.916,URLLC,PDCCH,DL,,,,,,,,,,22.0,,
2025-08-29 13:37:53.917,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.917,URLLC,PUSCH,UL,2.0,-198.0,193.0,6.0,0.0,0.65,0.0,1.0,,,,
2025-08-29 13:37:53.917,URLLC,PDSCH,DL,3.0,17.0,116.0,2.0,0.0,0.12,0.0,1.0,35.1,,,
2025-08-29 13:37:53.917,URLLC,MAC,DL,,,,,,,,,,,,114.0
2025-08-29 13:37:53.918,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.921,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.922,URLLC,MAC,DL,,,,,,,,,,,,11.0
2025-08-29 13:37:53.922,URLLC,PDSCH,DL,5.0,-11.0,14.0,2.0,0.0,0.12,0.0,1.0,38.5,,,
2025-08-29 13:37:53.922,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.923,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.926,URLLC,PDCCH,DL,,,,,,,,,,21.0,,
2025-08-29 13:37:53.926,URLLC,MAC,UL,,,,,,,,,,,,111.0
2025-08-29 13:37:53.927,URLLC,PUSCH,UL,3.0,-179.0,123.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:53.931,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.932,URLLC,PDSCH,DL,6.0,-31.0,28.0,2.0,0.0,0.12,0.0,1.0,35.6,,,
2025-08-29 13:37:53.932,URLLC,MAC,DL,,,,,,,,,,,,23.0
2025-08-29 13:37:53.932,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.932,URLLC,PDCCH,DL,,,,,,,,,,0.0,,
2025-08-29 13:37:53.933,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.933,URLLC,MAC,DL,,,,,,,,,,,,43.0
2025-08-29 13:37:53.933,URLLC,PDSCH,DL,7.0,-127.0,46.0,2.0,0.0,0.12,0.0,1.0,34.5,,,
2025-08-29 13:37:53.933,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.937,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.941,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:53.941,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:53.942,URLLC,PUSCH,UL,4.0,-49.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:53.947,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:53.950,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:53.950,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:53.952,URLLC,PUSCH,UL,5.0,1.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:53.956,URLLC,PDCCH,DL,,,,,,,,,,22.0,,
2025-08-29 13:37:53.956,URLLC,PDSCH,DL,8.0,-15.0,4612.0,8.0,0.0,0.74,0.0,1.0,33.8,,,
2025-08-29 13:37:53.956,URLLC,MAC,DL,,,,,,,,,,,,4609.0
2025-08-29 13:37:53.957,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.025,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:54.026,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:54.026,URLLC,PDSCH,DL,9.0,-159.0,4992.0,8.0,0.0,0.78,0.0,1.0,33.7,,,
2025-08-29 13:37:54.027,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.027,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.030,URLLC,PDCCH,DL,,,,,,,,,,20.0,,
2025-08-29 13:37:54.030,URLLC,MAC,UL,,,,,,,,,,,,185.0
2025-08-29 13:37:54.032,URLLC,PUSCH,UL,6.0,-266.0,193.0,8.0,0.0,0.67,0.0,1.0,,,,
2025-08-29 13:37:54.047,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.051,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:54.051,URLLC,MAC,UL,,,,,,,,,,,,118.0
2025-08-29 13:37:54.052,URLLC,PUSCH,UL,7.0,-181.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:54.055,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:54.056,URLLC,MAC,DL,,,,,,,,,,,,4987.0
