Time;Dev. Time;Source;RSRP/TxP;RSRQ/PL;CC;NR-ARFCN;PCI;Num;SFN;Slot;HARQ;MCS;Mod;TBS;RB;Layers;CRC;ReTx;RV;MIMO;CQI;PMI-i11;PMI-i12;PMI-i13;PMI-i2;RI;LI;CRI;SAI;BWP;Type;RSRP 1;RSRP 2;RSRP 3;RSRP 4;Info;Info
11:39:37.934;09:39:30.778-2026/02/04;paging;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:37.949;09:39:30.779-2026/02/04;rrcSetupRequest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:37.949;09:39:30.796-2026/02/04;MAC DCI DL_1_0;;;0;;;1;481;1;0;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-0; DL Car: 0
11:39:37.949;09:39:30.796-2026/02/04;PDSCH;-65.70;-10.29;0;660096;266;1;481;1;0;0;QPSK;10;3;1;PASS;0;0;2x2;;;;;;;;;;;;;;;;;NDI: 0
11:39:37.981;09:39:30.852-2026/02/04;PRACH;;;0;;;1;487;19;;;;;-;;;;;;;;;;;;;;;;;;;;;;
11:39:37.981;09:39:30.856-2026/02/04;RACH: MSG 2: Success;;;0;;;1;487;19;;;;;;;;1;;;;;;;;;;;;;;;;;;0;DL MCE
11:39:37.981;09:39:30.852-2026/02/04;MAC DCI DL_1_0;;;0;;;1;488;5;0;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-0; DL Car: 0
11:39:37.981;09:39:30.852-2026/02/04;PDSCH;-65.70;-10.29;0;660096;266;1;488;5;0;0;QPSK;10;3;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:37.981;09:39:30.856-2026/02/04;RACH: MSG 3: Success;;;0;;;1;488;5;;;;;;;;1;;;;;;;;;;;;;;;;;;0;DL MCE
11:39:37.981;09:39:30.856-2026/02/04;PUSCH;;;0;;;1;488;11;0;0;QPSK;11;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:37.981;09:39:30.860-2026/02/04;MAC DCI DL_1_0;;;0;;;1;488;18;0;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-0; DL Car: 0
11:39:37.996;09:39:30.876-2026/02/04;L2 UL TB;;;0;No BSR;R:;B:;488;11;0;;0;7;11;;;;;;;;;;;;;;;;;;;;;;
11:39:37.981;09:39:30.860-2026/02/04;PDSCH;-65.70;-10.29;0;660096;266;1;488;18;0;0;QPSK;7;3;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:37.981;09:39:30.856-2026/02/04;RACH: MSG 4: Success;;;0;;;1;488;19;;;;;;;;1;;;;;;;;;;;;;;;;;;0;DL MCE
11:39:37.981;09:39:30.862-2026/02/04;rrcSetup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:37.981;09:39:30.864-2026/02/04;PUCCH;;;0;;;1;489;3;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;ACK_NACK;HOP MOD GROUP
11:39:37.981;09:39:30.864-2026/02/04;MAC DCI DL_1_0;;;0;;;1;489;8;0;5;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-0; DL Car: 0
11:39:37.981;09:39:30.864-2026/02/04;PDSCH;-65.70;-10.29;0;660096;266;1;489;8;0;5;QPSK;357;32;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 1
11:39:37.981;09:39:30.868-2026/02/04;PUCCH;;;0;;;1;489;11;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;ACK_NACK;HOP MOD GROUP
11:39:37.981;09:39:30.867-2026/02/04;CC: Dedicated Cfg Start;;;0;660096;266;1;490;0;D:Act;U:Dcfg;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:37.996;09:39:30.874-2026/02/04;CC: Dedicated Cfg End;;;0;660096;266;1;490;7;D:Act;U:Act;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:37.996;09:39:30.877-2026/02/04;rrcSetupComplete;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:37.996;09:39:30.880-2026/02/04;MAC DCI UL_0_1;;;0;;;1;491;1;0;27;;;;;;;;;;;;;;;;;0;0;;;;;;LEVEL_8;UL Car: 0
11:39:37.996;09:39:30.884-2026/02/04;PUSCH;;;0;;;1;491;3;0;27;64Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:37.996;09:39:30.884-2026/02/04;MAC DCI UL_0_1;;;0;;;1;491;9;1;27;;;;;;;;;;;;;;;;;0;0;;;;;;LEVEL_16;UL Car: 0
11:39:38.027;09:39:30.918-2026/02/04;L2 UL TB;;;0;Short BSR;R:PHR;BSR;B:PHR;BSR;491;3;0;;1;60;285;0;;;;;;;;;;;;;;;;;;;;High Data Arrival;LC:0;Ix:0(<=0 bytes)
11:39:38.027;09:39:30.918-2026/02/04;PDCP UL;;;0;Pad;SRB;NR;491;3;1;;;;0;1;51;NewTx;;;0;;;;;;;;;;;;;;;;
11:39:37.996;09:39:30.884-2026/02/04;MAC DCI DL_1_1;;;0;;;1;491;9;1;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_16;DAI: 0-0; DL Car: 0
11:39:37.996;09:39:30.884-2026/02/04;PDSCH;-65.70;-10.29;0;660096;266;1;491;9;1;0;QPSK;63;16;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.027;09:39:30.888-2026/02/04;PUSCH;;;0;;;1;491;11;1;27;64Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.027;09:39:30.888-2026/02/04;PUCCH;;;0;;;1;491;15;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.027;09:39:30.918-2026/02/04;L2 UL TB;;;0;Long BSR;R:;B:;491;11;1;;0;3;285;;;;;;;;;;;;;;;;;;;;;;
11:39:38.027;09:39:30.888-2026/02/04;MAC UCI SR;;;0;;;1;491;15;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.027;09:39:30.917-2026/02/04;securityModeCommand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:38.027;09:39:30.919-2026/02/04;securityModeComplete;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:38.027;09:39:30.920-2026/02/04;MAC DCI DL_1_1;;;0;;;1;494;17;2;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_16;DAI: 0-0; DL Car: 0
11:39:38.027;09:39:30.920-2026/02/04;PDSCH;-65.70;-10.29;0;660096;266;1;494;17;2;0;QPSK;63;16;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.027;09:39:30.924-2026/02/04;PUCCH;;;0;;;1;495;3;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.027;09:39:30.924-2026/02/04;MAC UCI SR;;;0;;;1;495;3;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.027;09:39:30.927-2026/02/04;rrcReconfiguration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N1=2,N2=1,O1=4,O2=1,CBM=1;
11:39:38.027;09:39:30.928-2026/02/04;MAC DCI UL_0_0;;;0;;;1;495;13;2;22;;;;;;;;;;;;;;;;;0;0;;;;;;LEVEL_8;UL Car: 0
11:39:38.027;09:39:30.928-2026/02/04;PUSCH;;;0;;;1;495;15;2;22;64Q;193;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.027;09:39:30.940-2026/02/04;L2 UL TB;;;0;Short BSR;R:BSR;B:BSR;495;15;2;;2;19;193;0;;;;;;;;;;;;;;;;;;;;Periodic Expiry BSR;High Data Arrival;LC:0;Ix:0(<=0 bytes)
11:39:38.059;09:39:30.940-2026/02/04;PDCP UL;;;0;Pad;SRB;NR;495;15;1;;;;1;1;8;UL STS or NewTx;;;1;;;;;;;;;;;;;;;;
11:39:38.027;09:39:30.928-2026/02/04;MAC DCI DL_1_0;;;0;;;1;495;16;4;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-0; DL Car: 0
11:39:38.027;09:39:30.928-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;495;16;4;0;QPSK;116;32;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.027;09:39:30.928-2026/02/04;MAC DCI DL_1_0;;;0;;;1;495;17;5;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-0; DL Car: 0
11:39:38.027;09:39:30.928-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;495;17;5;0;QPSK;10;3;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.027;09:39:30.932-2026/02/04;PUCCH;;;0;;;1;495;19;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.027;09:39:30.932-2026/02/04;MAC UCI SR;;;0;;;1;495;19;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.027;09:39:30.932-2026/02/04;MAC DCI DL_1_0;;;0;;;1;496;1;6;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-0; DL Car: 0
11:39:38.027;09:39:30.932-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;496;1;6;0;QPSK;14;4;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.027;09:39:30.932-2026/02/04;PUCCH;;;0;;;1;496;3;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.027;09:39:30.932-2026/02/04;MAC UCI SR;;;0;;;1;496;3;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.027;09:39:30.931-2026/02/04;CC: Dedicated Cfg Start;;;0;660096;266;1;496;4;D:Act;U:Act;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:38.027;09:39:30.936-2026/02/04;PUCCH;;;0;;;1;496;7;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.027;09:39:30.936-2026/02/04;MAC UCI SR;;;0;;;1;496;7;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.027;09:39:30.938-2026/02/04;CC: Dedicated Cfg End;;;0;660096;266;1;497;1;D:Act;U:Act;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:38.059;09:39:30.941-2026/02/04;rrcReconfigurationComplete;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:38.059;09:39:30.944-2026/02/04;PUCCH;;;0;;;1;497;7;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.059;09:39:30.944-2026/02/04;MAC UCI SR;;;0;;;1;497;7;;;;;;;;;;;;;;;;;;;;;;;;;;SR;PUCCH Fmt#1
11:39:38.059;09:39:30.948-2026/02/04;MAC DCI UL_0_0;;;0;;;1;497;13;3;22;;;;;;;;;;;;;;;;;0;0;;;;;;LEVEL_8;UL Car: 0
11:39:38.059;09:39:30.948-2026/02/04;PUSCH;;;0;;;1;497;15;3;22;64Q;193;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.059;09:39:30.950-2026/02/04;dlInformationTransfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:38.059;09:39:30.952-2026/02/04;MAC DCI DL_1_0;;;0;;;1;498;1;7;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-0; DL Car: 0
11:39:38.059;09:39:30.952-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;498;1;7;0;QPSK;14;4;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.059;09:39:30.952-2026/02/04;MAC DCI DL_1_1;;;0;;;1;498;4;9;0;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_8;DAI: 0-1; DL Car: 0
11:39:38.059;09:39:30.952-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;498;4;9;0;QPSK;63;16;1;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.059;09:39:30.956-2026/02/04;PUCCH;;;0;;;1;498;7;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.059;09:39:30.956-2026/02/04;MAC UCI SR;;;0;;;1;498;7;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.059;09:39:30.956-2026/02/04;PUCCH;;;0;;;1;498;11;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.059;09:39:30.956-2026/02/04;MAC UCI SR;;;0;;;1;498;11;;;;;;;;;;;;;;;;;;;;;;;;;;SR;PUCCH Fmt#1
11:39:38.059;09:39:30.960-2026/02/04;MAC DCI UL_0_1;;;0;;;1;498;17;4;20;;;;;;;;;;;;;;;;;0;0;;;;;;LEVEL_16;UL Car: 0
11:39:38.059;09:39:30.960-2026/02/04;PUSCH;;;0;;;1;498;19;4;20;256Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.059;09:39:30.960-2026/02/04;MAC DCI UL_0_1;;;0;;;1;499;0;5;20;;;;;;;;;;;;;;;;;5;0;;;;;;LEVEL_8;UL Car: 0
11:39:38.059;09:39:30.964-2026/02/04;PUSCH;;;0;;;1;499;7;5;20;256Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.059;09:39:30.964-2026/02/04;CSI Report;;;;;;1;499;7;;;;;;;;;;;15;4;0;;1;3;;0;;;;-;-;-;-;N1=2;N2=1;O1=4;O2=1;CBM=1;;CarId:0;RepId:0;Type:A;Bits(X1:3;X2:1)
11:39:38.074;09:39:30.971-2026/02/04;dlInformationTransfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:38.074;09:39:30.972-2026/02/04;MAC DCI DL_1_1;;;0;;;1;500;6;10;27;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_1;DAI: 0-0; DL Car: 0
11:39:38.074;09:39:30.972-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;500;6;10;27;256Q;5637;16;4;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.074;09:39:30.973-2026/02/04;ulInformationTransfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:39:38.074;09:39:30.976-2026/02/04;PUCCH;;;0;;;1;500;11;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.074;09:39:30.976-2026/02/04;MAC UCI SR;;;0;;;1;500;11;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.074;09:39:30.980-2026/02/04;MAC DCI UL_0_1;;;0;;;1;500;17;6;20;;;;;;;;;;;;;;;;;0;0;;;;;;LEVEL_1;UL Car: 0
11:39:38.074;09:39:30.980-2026/02/04;PUSCH;;;0;;;1;500;19;6;20;256Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.074;09:39:30.984-2026/02/04;MAC DCI DL_1_1;;;0;;;1;501;5;11;27;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_1;DAI: 0-0; DL Car: 0
11:39:38.074;09:39:30.984-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;501;5;11;27;256Q;7813;16;4;FAIL;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.074;09:39:30.984-2026/02/04;MAC DCI UL_0_1;;;0;;;1;501;8;7;20;;;;;;;;;;;;;;;;;5;0;;;;;;LEVEL_1;UL Car: 0
11:39:38.074;09:39:30.988-2026/02/04;PUCCH;;;0;;;1;501;11;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.074;09:39:30.988-2026/02/04;MAC UCI SR;;;0;;;1;501;11;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.074;09:39:30.988-2026/02/04;PUSCH;;;0;;;1;501;15;7;20;256Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.074;09:39:30.988-2026/02/04;CSI Report;;;;;;1;501;15;;;;;;;;;;;14;4;0;;1;3;;0;;;;-;-;-;-;N1=2;N2=1;O1=4;O2=1;CBM=1;;CarId:0;RepId:0;Type:A;Bits(X1:3;X2:1)
11:39:38.074;09:39:30.988-2026/02/04;MAC DCI DL_1_1;;;0;;;1;501;16;11;31;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_1;DAI: 0-0; DL Car: 0
11:39:38.074;09:39:30.988-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;501;16;11;31;256Q;7813;16;4;PASS;1;2;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.074;09:39:30.992-2026/02/04;PUCCH;;;0;;;1;501;19;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.074;09:39:30.992-2026/02/04;MAC UCI SR;;;0;;;1;501;19;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.137;09:39:31.032-2026/02/04;MAC DCI DL_1_1;;;0;;;1;506;1;12;26;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_1;DAI: 0-0; DL Car: 0
11:39:38.137;09:39:31.032-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;506;1;12;26;256Q;7557;16;4;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.449;09:39:31.354-2026/02/04;PDCP DL;;;;;;NR;506;1;1;Direct;0;0;3;4;500;4;4;4;0;0;;;;;;;;;;;;;;;
11:39:38.137;09:39:31.032-2026/02/04;MAC DCI UL_0_1;;;0;;;1;506;4;8;20;;;;;;;;;;;;;;;;;5;0;;;;;;LEVEL_1;UL Car: 0
11:39:38.137;09:39:31.036-2026/02/04;PUCCH;;;0;;;1;506;7;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.137;09:39:31.036-2026/02/04;MAC UCI SR;;;0;;;1;506;7;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.137;09:39:31.036-2026/02/04;PUSCH;;;0;;;1;506;11;8;20;256Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.152;09:39:31.036-2026/02/04;CSI Report;;;;;;1;506;11;;;;;;;;;;;15;4;0;;1;3;;0;;;;-;-;-;-;N1=2;N2=1;O1=4;O2=1;CBM=1;;CarId:0;RepId:0;Type:A;Bits(X1:3;X2:1)
11:39:38.152;09:39:31.040-2026/02/04;PUCCH;;;0;;;1;506;19;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.152;09:39:31.040-2026/02/04;MAC UCI SR;;;0;;;1;506;19;;;;;;;;;;;;;;;;;;;;;;;;;;SR;PUCCH Fmt#1
11:39:38.152;09:39:31.044-2026/02/04;MAC DCI UL_0_1;;;0;;;1;507;5;9;20;;;;;;;;;;;;;;;;;0;0;;;;;;LEVEL_1;UL Car: 0
11:39:38.152;09:39:31.044-2026/02/04;PUSCH;;;0;;;1;507;7;9;20;256Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.152;09:39:31.048-2026/02/04;MAC DCI DL_1_1;;;0;;;1;507;13;13;27;;;;;;;;;;;;;;;;;;0;;;;;;LEVEL_1;DAI: 0-0; DL Car: 0
11:39:38.152;09:39:31.048-2026/02/04;PDSCH;-64.66;-10.34;0;660096;266;1;507;13;13;27;256Q;7813;16;4;PASS;0;0;4x4;;;;;;;;;;;;;;;;;NDI: 0
11:39:38.152;09:39:31.052-2026/02/04;PUCCH;;;0;;;1;507;19;;;;;1;14;Format:1;;;;;;;;;;;;;;;;;;;SR;
11:39:38.152;09:39:31.052-2026/02/04;MAC UCI SR;;;0;;;1;507;19;;;;;;;;;;;;;;;;;;;;;;;;;;ACK_NACK:SR;PUCCH Fmt#1
11:39:38.512;09:39:31.436-2026/02/04;MAC DCI UL_0_1;;;0;;;1;546;12;10;20;;;;;;;;;;;;;;;;;5;0;;;;;;LEVEL_1;UL Car: 0
11:39:38.512;09:39:31.440-2026/02/04;PUSCH;;;0;;;1;546;19;10;20;256Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.512;09:39:31.440-2026/02/04;CSI Report;;;;;;1;546;19;;;;;;;;;;;15;4;0;;0;3;;0;;;;-;-;-;-;N1=2;N2=1;O1=4;O2=1;CBM=1;;CarId:0;RepId:0;Type:A;Bits(X1:3;X2:1)
11:39:38.840;09:39:31.736-2026/02/04;MAC DCI UL_0_1;;;0;;;1;576;12;11;20;;;;;;;;;;;;;;;;;5;0;;;;;;LEVEL_1;UL Car: 0
11:39:38.840;09:39:31.740-2026/02/04;PUSCH;;;0;;;1;576;19;11;20;256Q;285;3;;;New;0;SISO;;;;;;;;;;;;;;;;;
11:39:38.840;09:39:31.740-2026/02/04;CSI Report;;;;;;1;576;19;;;;;;;;;;;15;4;0;;1;3;;0;;;;-;-;-;-;N1=2;N2=1;O1=4;O2=1;CBM=1;;CarId:0;RepId:0;Type:A;Bits(X1:3;X2:1)
11:39:40.856;09:39:33.764-2026/02/04;PDCP UL;;;0;Pad;SRB;NR;497;15;1;;;;2;1;8;UL STS or NewTx;;;2;;;;;;;;;;;;;;;;
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Short BSR;R:PHR;BSR;B:PHR;BSR;497;15;3;;2;22;193;0;;;;;;;;;;;;;;;;;;;;Periodic Expiry BSR;High Data Arrival;LC:0;Ix:0(<=0 bytes)
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Short BSR;R:BSR;B:BSR;498;19;4;;1;7;285;0;;;;;;;;;;;;;;;;;;;;Periodic Expiry BSR;High Data Arrival;LC:0;Ix:0(<=0 bytes)
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Long BSR;R:;B:;499;7;5;;0;3;285;;;;;;;;;;;;;;;;;;;;;;
11:39:40.856;09:39:33.764-2026/02/04;PDCP UL;;;0;Pad;SRB;NR;500;19;2;;;;0;1;19;UL STS or NewTx;;;0;;;;;;;;;;;;;;;;
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Short BSR;R:BSR;B:BSR;500;19;6;;2;30;285;0;;;;;;;;;;;;;;;;;;;;Periodic Expiry BSR;High Data Arrival;LC:0;Ix:0(<=0 bytes)
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Short BSR;R:BSR;B:BSR;501;15;7;;0;2;285;0;;;;;;;;;;;;;;;;;;;;Periodic Expiry BSR;LC:0;Ix:0(<=0 bytes)
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Short BSR;R:BSR;B:BSR;506;11;8;;1;7;285;0;;;;;;;;;;;;;;;;;;;;Periodic Expiry BSR;High Data Arrival;LC:0;Ix:0(<=0 bytes)
11:39:40.856;09:39:33.764-2026/02/04;PDCP UL;;;0;Pad;DRB;NR;507;7;3;;0;3;0;4;82;NewTx;;;0;;;;;;;;;;;;;;;;
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Short BSR;R:BSR;B:BSR;507;7;9;;4;194;285;0;;;;;;;;;;;;;;;;;;;;High Data Arrival;LC:0;Ix:0(<=0 bytes)
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Short BSR;R:PHR;BSR;B:PHR;BSR;546;19;10;;0;5;285;0;;;;;;;;;;;;;;;;;;;;Periodic Expiry BSR;LC:0;Ix:0(<=0 bytes)
11:39:40.856;09:39:33.764-2026/02/04;L2 UL TB;;;0;Short BSR;R:PHR;BSR;B:PHR;BSR;576;19;11;;0;5;285;0;;;;;;;;;;;;;;;;;;;;Periodic Expiry BSR;LC:0;Ix:0(<=0 bytes)
